ROTSE1 J184556.86+471914.4,221,10,3.01341,nan,5075,144,3.81,0.48,0.03,0.12,12.511,0.100,3.581872344,0.019277751
Kepler-743,0.6,1,20.894,0.094,5509,60,4.59,0.1,0.119,0.04,12.55,0.100,3.555752398,0.026412727
KOI-3197,7.4,1,7.234991267,0.039707804,6187.2,60,4.43,0.1,-0.063,0.04,11.531,0.100,3.538005539,0.03465708
Kepler-1088,3.6,1,13.874,0.018,5942.9,60,4.448,0.1,0.011,0.04,11.863,0.100,3.534608519,0.019741867
Kepler-20,0,1,27.91622961,0.456316263,5507.6,60,4.469,0.1,0.108,0.04,12.498,0.100,3.510258743,0.021933523
Kepler-1008,2.7,1,21.036,0.042,5045.3,60,4.612,0.1,-0.028,0.04,13.395,0.100,3.510135182,0.015888203
Kepler-960,2.5,1,18.626,0.013,4773.4,60,4.638,0.1,0.061,0.04,13.884,0.100,3.48098099,0.019560127
Kepler-202,1.6,1,16.16205574,1.562881244,4761.9,60,4.58,0.1,-0.207,0.04,13.872,0.100,3.478496648,0.013594924
KOI-2803,2.7,1,16.929,0.014,5575.1,60,4.348,0.1,0.169,0.04,12.258,0.100,3.476188697,0.022595037
KOI-3165,7.9,1,5.495777014,0.05627085,6267.1,60,4.147,0.1,-0.17,0.04,10.335,0.100,3.446322024,0.020507791
KIC 6035145,216,130,22.355,0.023,4030,101,4.66,0.2,-0.2,0.15,14.886,0.100,3.440295345,0.024312537
KIC 1866535,157,105,24.925,0.378,3890,109,1.79,0.69,-0.15,0.16,15.268,0.100,3.433016786,0.024071696
Kepler-517,1.3,1,18.7078947,5.256178095,5562.5,60,4.366,0.1,-0.16,0.04,12.193,0.100,3.420685634,0.024273126
KOI-3130,1.6,1,27.016,0.398,4866.1,60,4.635,0.1,-0.472,0.04,13.752,0.100,3.394474882,0.015436579
KOI-269,11.8,1,5.274,0.033,6302.5,60,4.248,0.1,-0.071,0.04,10.927,0.100,3.357785977,0.025396323
KOI-3232,3.8,1,13.53315424,0.052868184,5737.7,60,4.48,0.1,0.06,0.04,12.253,0.100,3.338010238,0.020408355
BD+46 2597,10.8,1,6.269,0.002,6336.6,60,4.175,0.1,0.11,0.04,10.268,0.100,3.329537294,0.026810916
Kepler-858,0.7,1,33.08673155,8.988257702,5511.3,60,4.381,0.1,0.016,0.04,12.45,0.100,3.320959602,0.021824242
KOI-3208,2.5,1,18.57349444,2.52088628,5845.7,60,4.451,0.1,-0.12,0.04,11.893,0.100,3.318028062,0.022256014
KOI-2636,3,1,16.228,0.026,5857.5,60,4.404,0.1,0.072,0.04,12.32,0.100,3.316875549,0.020471657
Kepler-1312,7.7,1,5.998,0.001,5755.8,60,4.632,0.1,0.127,0.04,12.43,0.100,3.31466017,0.02537443
KOI-1019,2.1,1,7.967315622,2.224372747,5017.8,60,3.551,0.1,0.174,0.04,10.266,0.100,3.302372415,0.021702647
Kepler-62,0.6,1,29.90297143,10.51108753,4858.8,60,4.593,0.1,-0.343,0.04,13.725,0.100,3.294735846,0.013368358
Kepler-141,1.9,1,18.77993711,6.949386129,5019.3,60,4.538,0.1,0.333,0.04,13.448,0.100,3.291354277,0.014263261
BD+45 2860,5.3,1,20.50935975,1.83399921,6284.4,60,4.083,0.1,-0.161,0.04,10.438,0.100,3.285672701,0.026466612
