Kepler-958,1,2.1,1,18.259,0.03,5418.9,60,4.621,0.1,0.059,0.04,13.766,0.1,2.194473129,0.014157251
Kepler-744,1,1.6,1,20.55612866,4.756667967,5495.4,60,4.512,0.1,-0.143,0.04,13.581,0.1,2.193807484,0.023370175
Kepler-196,2,1.7,1,29.8914331,6.482982902,5146,60,4.547,0.1,0.028,0.04,14.157,0.1,2.186918865,0.015278933
Kepler-646,1,0.5,1,20.21921949,3.158650087,5333.5,60,4.542,0.1,-0.444,0.04,13.766,0.1,2.184560326,0.015470318
Kepler-1388,4,2.4,1,23.907,0.066,5052.1,60,3.523,0.1,-0.498,0.04,16.279,0.1,2.175492042,0.036052209
Kepler-514,1,7,1,8.291,0.185,6155,60,4.301,0.1,0.107,0.04,12.182,0.1,2.167543207,0.023603866
Kepler-450,3,12.9,1,20.796,0.016,6298.1,60,4.217,0.1,0.17,0.04,11.684,0.1,2.164485981,0.024491634
Kepler-530,1,0,1,23.78624375,0.253055617,5600.4,60,4.542,0.1,-0.181,0.04,13.4,0.1,2.155931298,0.014528209
Kepler-105,2,2.9,1,16.846,0.15,5932.8,60,4.402,0.1,-0.087,0.04,12.791,0.1,2.149032903,0.025663267
Kepler-153,2,0.3,1,30.27690023,0.447213722,5178,60,4.743,0.1,-0.265,0.04,14.262,0.1,2.148072265,0.016056317
Kepler-984,1,1.3,1,25.4018586,0.267002768,5601,60,4.492,0.1,0.04,0.04,13.534,0.1,2.144197271,0.014987688
Kepler-536,1,1.6,1,21.401894,8.557946268,5485,60,4.478,0.1,0.028,0.04,13.807,0.1,2.13772141,0.070392089
Kepler-1323,1,4.6,1,18.78811617,1.620934344,6062.8,60,4.297,0.1,0.003,0.04,12.41,0.1,2.119963201,0.022127147
Kepler-932,1,2.4,1,14.89313972,1.565219953,5165.5,60,4.345,0.1,0.072,0.04,14.131,0.1,2.119004423,0.019070079
