Simbad,vsini,e_vsini
TYC 9183-507-1,4.699614087,0.575587652
TYC 9183-480-1,7.521049916,0.825692949
TYC 9183-373-1,7.811379256,1.38187371
TYC 9183-350-1,8.028703291,0.522783853
TYC 9183-280-1,6.592029107,0.576134102
TYC 9183-274-1,5.951553933,1.215261059
TYC 9183-257-1,9.172511159,0.499326198
TYC 9183-202-1,5.047843253,1.141202474
TYC 9183-1642-1,5.08078211,0.491249578
TYC 9183-1633-1,7.181105119,0.644211843
TYC 9183-154-1,5.052283571,0.568186019
TYC 9183-1511-1,6.063692505,1.029857533
TYC 9183-1460-1,5.214144102,0.566275232
TYC 9183-1451-1,5.017383759,0.705101865
TYC 9183-1433-1,13.39855748,1.54842953
TYC 9183-1267-1,5.630262304,0.47501147
TYC 9183-1228-1,8.395852713,0.618214934
TYC 9183-1223-1,8.452682781,0.491623217
TYC 9183-1115-1,6.008781747,0.542274593
TYC 9183-1036-1,6.466487161,1.769310593
TYC 9182-89-1,12.85781886,0.782449477
TYC 9182-822-1,5.250074889,2
TYC 9182-816-1,11.07643796,0.851036527
TYC 9182-810-1,4.987652051,2
TYC 9182-739-1,10.49674054,0.850283488
TYC 9182-729-1,8.625349087,1.328663902
TYC 9182-619-1,7.12224802,0.754935553
TYC 9182-595-1,5.522003488,1.78453283
TYC 9182-58-1,4.95410344,0.654373657
TYC 9182-425-1,14.36958086,1.655916628
TYC 9182-344-1,7.304035981,0.739008669
TYC 9182-285-1,5.289177995,1.714629464
TYC 9182-26-1,5.889870198,0.468206342
TYC 9182-223-1,7.141939196,1.128276406
TYC 9182-2-1,6.614528297,1.099432627
TYC 9182-197-1,11.56473311,1.593954195
TYC 9182-1226-1,7.331706999,1.024809183
TYC 9182-1151-1,6.808063191,2
TYC 9182-1077-1,9.016371106,0.74998431
TYC 9182-1012-1,5.559401774,0.470029422
TYC 9181-95-1,4.885998686,1.217989291
TYC 9181-896-1,16.33372147,1.389430969
TYC 9181-895-1,5.141464022,0.485380584
TYC 9181-862-1,4.792970755,0.875119517
TYC 9181-813-1,7.190117355,2
TYC 9181-767-1,9.621672498,2
TYC 9181-746-1,7.99247192,0.482013653
TYC 9181-656-1,6.866983965,0.520527951
TYC 9181-643-1,8.893800493,0.577361423
TYC 9181-520-1,5.226775635,1.139005237
TYC 9181-408-1,23.13351724,0.484168053
TYC 9181-383-1,13.93503185,0.766424484
TYC 9181-38-1,8.262103609,0.703763881
TYC 9181-365-1,5.18054699,1.393066405
TYC 9181-350-1,16.5423508,0.494005823
TYC 9181-308-1,5.745969759,0.483280052
TYC 9181-222-1,5.729350013,0.600171147
TYC 9181-213-1,7.278282819,2
TYC 9181-1072-1,8.45918489,0.682597338
TYC 9180-99-1,7.90166974,2
TYC 9180-588-1,7.682278766,0.826190995
TYC 9180-577-1,12.89744029,1.392862737
TYC 9180-556-1,14.57153593,1.476179584
TYC 9180-537-1,11.31496452,0.825563464
TYC 9180-5-1,5.267059659,0.637124662
TYC 9180-424-1,9.95602824,2
TYC 9180-338-1,7.820430115,1.022622698
TYC 9180-326-1,10.28640598,2
TYC 9180-2223-1,4.769585944,1.969912792
TYC 9180-2149-1,9.890165477,1.861912683
TYC 9180-2116-1,10.16230291,2
TYC 9180-2061-1,6.825099017,1.884724202
TYC 9180-201-1,4.912887017,0.756777343
TYC 9180-1988-1,4.49049958,0.996981035
TYC 9180-191-1,8.008293934,0.944684169
TYC 9180-1806-1,5.12428932,1.102253005
TYC 9180-1776-1,7.229525845,2
TYC 9180-1751-1,7.89324487,0.609912759
TYC 9180-173-1,14.32377355,2
TYC 9180-1606-1,7.038684298,0.543914122
TYC 9180-1561-1,19.45587887,2
TYC 9180-1556-1,5.352512139,2
TYC 9180-1417-1,9.720123813,0.553644274
TYC 9180-134-1,5.48481794,0.69052562
TYC 9180-119-1,12.70676849,0.611895333
TYC 9180-11-1,5.247432065,0.776372881
TYC 9179-807-1,5.351536826,1.05998844
TYC 9179-766-1,4.545725039,0.477110885
TYC 9179-754-1,4.866558682,0.782515804
TYC 9179-606-1,4.710014774,0.480189817
TYC 9179-596-1,6.768491944,0.923160131
TYC 9179-571-1,22.56732503,2
TYC 9179-49-1,10.84378333,0.576309135
TYC 9179-400-1,8.253316488,1.130212934
TYC 9179-1987-1,4.87294092,0.803915022
TYC 9179-1787-1,6.55733448,0.563203261
TYC 9179-1715-1,4.975048908,0.659034762
TYC 9179-1685-1,19.14945701,0.938170012
TYC 9179-1664-1,6.256460179,0.694765163
TYC 9179-161-1,10.13142443,2
TYC 9179-1395-1,4.938228988,0.464974205
TYC 9179-1153-1,17.87528581,1.613762316
TYC 9179-1087-1,5.254004896,0.52740796
TYC 9178-685-1,7.751155599,0.964556208
TYC 9178-567-1,4.077306175,2
TYC 9178-417-1,23.11924277,2
TYC 9178-398-1,6.544557656,0.977282672
TYC 9178-35-1,4.317797139,1.055358234
TYC 9178-25-1,6.514385617,1.225996026
TYC 9178-185-1,7.37214332,2
TYC 9178-1524-1,10.07995599,1.011601928
TYC 9178-1390-1,7.647070746,1.0753172
TYC 9178-1364-1,7.724510226,1.444875655
TYC 9178-1237-1,6.504650951,0.864472325
TYC 9177-92-1,4.744133461,0.503161886
TYC 9177-834-1,8.829078354,1.182127156
TYC 9177-717-1,5.552420401,1.22912238
TYC 9177-625-1,6.640560239,0.525810944
TYC 9177-328-1,7.912604879,2
TYC 9177-238-1,17.16863489,0.56747565
TYC 9177-1910-1,18.90210919,0.639833785
TYC 9177-19-1,6.43424845,0.5497301
TYC 9177-1875-1,6.115229701,0.917304412
TYC 9177-1788-1,4.640547862,0.468952218
TYC 9177-1754-1,6.417573929,1.30390011
TYC 9177-1641-1,4.917137842,0.84274622
TYC 9177-1477-1,6.28484836,2
TYC 9177-1383-1,8.188005066,1.58704098
TYC 9177-1356-1,7.794839657,1.064954186
TYC 9177-1305-1,5.3822132,2
TYC 9177-1260-1,7.276847108,0.593272426
TYC 9177-1113-1,7.249796358,2
TYC 9176-579-1,4.324754513,0.630192104
TYC 9176-467-1,5.291957399,0.539900616
TYC 9176-143-1,10.45611366,2
TYC 9175-944-1,15.30437197,2
TYC 9175-930-1,10.57333378,0.945530334
TYC 9175-881-1,5.942785425,0.714305919
TYC 9175-879-1,13.19260926,1.644186089
TYC 9175-804-1,4.751929833,0.718160226
TYC 9175-626-1,6.253019646,1.924416868
TYC 9175-554-1,7.108160897,1.366297137
TYC 9175-507-1,5.977628188,2
TYC 9175-462-1,6.249428923,0.989691052
TYC 9175-334-1,7.352908456,0.777412224
TYC 9175-333-1,8.257420159,2
TYC 9175-302-1,8.778247322,0.600642972
TYC 9175-294-1,7.602139635,1.700366625
TYC 9175-1161-1,6.119673534,0.555548401
TYC 9173-911-1,5.335777933,2
TYC 9173-861-1,5.635010313,0.973269431
TYC 9173-793-1,8.440295313,0.465548839
TYC 9173-77-1,7.141541321,0.532582084
TYC 9173-684-1,6.546313229,0.465728584
TYC 9173-637-1,6.794762462,0.552821925
TYC 9173-63-1,21.9870772,0.465490594
TYC 9173-62-1,8.411410823,0.515017188
TYC 9173-594-1,8.335482588,1.251652596
TYC 9173-465-1,5.355330477,2
TYC 9173-421-1,8.479454975,0.587275766
TYC 9173-42-1,4.930005072,0.494825649
TYC 9173-355-1,4.80514217,0.706605087
TYC 9173-300-1,5.870660728,0.632686503
TYC 9173-273-1,8.718380109,0.516268908
TYC 9173-237-1,5.372278003,1.222984861
