Name,Prot,e_prot
KIC 5689671,23.05,2.44
KIC 5687033,20.1,2.6
KIC 5686400,20.35,1.64
KIC 5613804,38.5,3.69
KIC 5525418,37.71,4.5
KIC 5523045,41.84,3.95
KIC 5513928,22.73,2.17
KIC 5449665,12.18,1
KIC 5430181,17.34,0.79
KIC 5428605,13.71,1.02
KIC 5427777,39.04,4.98
KIC 5426191,13.9,1.51
KIC 5425989,15.1,1.28
KIC 5355872,13.52,1.01
KIC 5344682,0.99,0.07
KIC 5267789,33.99,3.08
KIC 5262504,42.43,7.32
KIC 5252575,33.52,3.54
KIC 5252321,33.75,4.06
KIC 5175065,34.22,2.71
KIC 5167192,24.7,3.18
KIC 5082913,25.05,1.97
KIC 5080741,30.85,3.37
KIC 5078917,22.27,1.82
KIC 5000686,39.32,2.42
KIC 4922245,12.88,0.85
KIC 4913121,25.05,1.81
KIC 4909745,29.59,2.49
KIC 4907256,30.84,2.5
KIC 4904416,28.98,2.89
KIC 4903891,22.58,3.38
KIC 4853523,3.24,0.23
KIC 4848532,12.1,0.97
KIC 4825003,24.37,2.7
KIC 4821020,33.98,1.28
KIC 4814530,1.03,0.07
KIC 4814005,24.2,1.88
KIC 4756798,0.64,0.04
KIC 4730902,20.78,1.66
KIC 4665337,26.65,4.27
KIC 4644320,24.54,2.04
KIC 4644194,107.89,
KIC 4638766,25.57,1.02
KIC 4633779,20.92,1.64
KIC 4581084,69.89,7.54
KIC 4551014,41.84,4.45
KIC 4545994,29.38,3.8
KIC 4542936,32.37,1.73
KIC 4465829,28.98,2.2
KIC 4465790,20.8,2.56
KIC 4448618,22.42,2.57
KIC 4445647,22.74,2.31
KIC 4382583,23.21,2.44
KIC 4370390,19.54,2.15
KIC 4366173,40.98,5.77
KIC 4352479,22.27,1.8
KIC 4348737,28.78,4.51
KIC 4270856,30,2.55
KIC 4249808,2,0.14
KIC 4171282,7.72,0.77
KIC 4149014,11.77,0.99
KIC 4142794,13.24,1.11
KIC 4141950,18.73,1.69
KIC 4140749,18.21,1.48
KIC 4137629,51.16,3.21
KIC 4137413,4.95,0.35
KIC 4043862,15.53,1.37
KIC 4036050,1.56,0.1
KIC 3958247,15.63,1.16
KIC 3952447,25.06,3.01
KIC 3951371,27.04,2.8
KIC 3947074,33.52,2.56
KIC 3940957,18.09,1.51
KIC 3940332,30,3.08
KIC 3938758,21.66,3.33
KIC 3862001,40.98,4.82
KIC 3852808,30.21,4.28
KIC 3732804,21.36,1.81
KIC 3732672,31.27,2.19
KIC 3729528,26.3,2.02
KIC 3663136,19.12,1.34
KIC 3654827,111.98,
KIC 3643061,21.07,1.85
KIC 3640704,16.3,1.56
KIC 3640575,44.54,5.94
KIC 3630791,29.58,3.37
KIC 3628473,30.21,2.18
KIC 3561115,14,1.03
KIC 3530826,33.99,2.81
KIC 3530177,32.16,2.34
KIC 3525746,25.58,1.96
KIC 3442825,16.65,1.41
KIC 3431246,21.67,2.23
KIC 3429161,31.06,2.93
KIC 3352523,31.94,5.15
KIC 3342036,13.02,0.91
KIC 3331150,36.94,5.29
KIC 3329865,40.14,6.21
KIC 3237411,18.73,1.69
KIC 3232334,41.85,4.93
KIC 3097797,8.8,0.67
KIC 2998865,28.78,1.05
KIC 2846901,13.52,1.04
KIC 2836367,4.69,0.55
KIC 2831957,24.37,2.3
KIC 2697813,25.23,2.32
KIC 2693045,17.59,1.22
KIC 2439966,28.18,3.09
KIC 2018047,43.02,2.45
KIC 1874294,32.39,4.6
KIC 1725330,25.23,2.12
KIC 1724234,85.44,7.28
KIC 1577003,14.8,1.53
KIC 12834617,17.47,1.53
KIC 12736483,17.35,1.07
KIC 12735390,7.1,0.52
KIC 12692135,28.78,2.49
KIC 12691972,27.03,3.28
KIC 12689088,16.64,1.4
KIC 12601704,18.21,1.42
KIC 12555658,17.59,1.47
KIC 12554848,26.85,2.42
KIC 12505973,28.19,2.57
KIC 12469684,14.51,1.93
KIC 12457636,16.32,1.24
KIC 12455823,40.42,5.02
KIC 12454894,22.57,0.91
KIC 12416436,19.27,1.75
KIC 12400701,18.47,1.34
KIC 12366230,25.58,1.79
KIC 12356282,29.79,2.11
KIC 12352923,24.71,2.06
KIC 12305755,36.94,4.94
KIC 12303778,28.19,1.97
KIC 12300936,17.96,1.31
KIC 12300588,18.99,1.36
KIC 12269152,15.19,1.05
KIC 12257782,39.59,4.12
KIC 12256925,24.03,2.08
KIC 12254677,9.76,0.83
KIC 12251991,17.84,1.4
KIC 12251877,23.21,2.06
KIC 12251403,15.21,1.48
KIC 12206223,13.61,1.34
KIC 12203384,21.66,2.02
KIC 12201811,15.31,1.11
KIC 12200349,27.23,2.44
KIC 12166898,6.84,0.42
KIC 12153223,18.6,1.51
KIC 12111274,13.8,0.58
KIC 12105422,25.58,2.9
KIC 12062136,12.69,0.5
KIC 12059743,15.95,1.69
KIC 12058951,11.22,0.89
KIC 12055131,26.85,2.32
KIC 12019939,7.05,0.52
KIC 12018335,10.98,0.74
KIC 12010404,26.12,1.73
KIC 12007765,15.32,1.83
KIC 12004341,16.08,1.21
KIC 11974553,9.83,0.83
KIC 11970664,20.21,1.76
KIC 11961378,31.06,3.39
KIC 11960670,23.7,3.86
KIC 11959399,17.12,1.58
KIC 11954184,18.6,1.51
KIC 11913457,15.44,1.87
KIC 11911373,24.71,2.04
KIC 11910936,23.54,1.98
