Name,P_rot,P_rot_err,Prot_errm,Prot_errp
TYC 3568-783-1,7.801,,,
TYC 3566-589-1,2.752,,,
TYC 3565-992-1,1.71,,,
TYC 3565-981-1,5.138,,,
TYC 3565-686-1,1.666,,,
TYC 3565-674-1,1.491,,,
TYC 3565-655-1,2.958,,,
TYC 3565-594-1,6.188,,,
TYC 3565-580-1,2.13,,,
TYC 3565-525-1,4.806,,,
TYC 3565-508-1,1.488,,,
TYC 3565-365-1,2.165,,,
TYC 3565-348-1,6.276,,,
TYC 3565-317-1,1.612,,,
TYC 3565-1511-1,1.007,,,
TYC 3565-1440-1,11.567,,,
TYC 3565-1373-1,1.007,,,
TYC 3565-1361-1,12.52,,,
TYC 3565-1354-1,2.286,,,
TYC 3565-1198-1,18.372,,,
TYC 3565-1189-1,14.512,,,
TYC 3565-1149-1,6.948,,,
TYC 3564-871-1,7.496,,,
TYC 3564-826-1,2.027,,,
TYC 3564-473-1,22.802,,,
TYC 3564-3099-1,1.141,,,
TYC 3564-305-1,2.953,,,
TYC 3564-2425-1,2.318,,,
TYC 3564-2324-1,5.329,,,
TYC 3564-231-1,1.322,,,
TYC 3564-2234-1,11.765,,,
TYC 3564-1890-1,12.396,,,
TYC 3564-1752-1,2.734,,,
TYC 3564-1016-1,16.446,,,
TYC 3562-301-1,2.302,,,
TYC 3562-2318-1,5.458,,,
TYC 3562-2300-1,1.859,,,
TYC 3562-2251-1,1.541,,,
TYC 3562-2223-1,7.269,,,
TYC 3562-2092-1,6.052,,,
TYC 3562-1884-1,4.043,,,
TYC 3561-855-1,1.097,,,
TYC 3561-685-1,6.687,,,
TYC 3561-665-1,2.3,,,
TYC 3561-60-1,2.884,,,
TYC 3561-571-1,12.696,,,
TYC 3561-399-1,1.549,,,
TYC 3561-371-1,1.162,,,
TYC 3561-339-1,6.175,,,
TYC 3561-1996-1,2.237,,,
TYC 3561-1925-1,8.354,,,
TYC 3561-1884-1,10.523,,,
TYC 3561-1857-1,4.305,,,
TYC 3561-1558-1,1.082,,,
TYC 3561-1417-1,10.473,,,
TYC 3561-1357-1,4.866,,,
TYC 3561-1295-1,1.903,,,
TYC 3561-1116-1,4.736,,,
TYC 3560-727-1,1.342,,,
TYC 3560-458-1,13.02,,,
TYC 3560-3158-1,1.354,,,
TYC 3560-314-1,1.305,,,
TYC 3560-3023-1,4.642,,,
TYC 3560-2926-1,2.626,,,
TYC 3560-2671-1,1.431,,,
TYC 3560-2667-1,5.697,,,
TYC 3560-2522-1,6.476,,,
TYC 3560-2314-1,2.366,,,
TYC 3560-2311-1,1.048,,,
TYC 3560-2247-1,21.569,,,
TYC 3560-2169-1,7.103,,,
TYC 3560-1987-1,1.629,,,
TYC 3560-1774-1,2.156,,,
TYC 3560-1772-1,9.716,,,
TYC 3560-1574-1,1.531,,,
TYC 3560-1434-1,18.119,,,
TYC 3560-1324-1,22.461,,,
TYC 3560-1201-1,1.723,,,
TYC 3558-901-1,1.966,,,
TYC 3558-773-1,5.144,,,
TYC 3558-762-1,3.518,,,
TYC 3558-405-1,2.206,,,
TYC 3558-2264-1,9.37,,,
TYC 3558-2186-1,9.606,,,
TYC 3558-2088-1,7.14,,,
TYC 3558-2007-1,19.655,,,
TYC 3558-1836-1,9.319,,,
TYC 3558-1238-1,1.213,,,
TYC 3558-1214-1,1.777,,,
TYC 3558-1045-1,7.325,,,
TYC 3557-955-1,1.956,,,
TYC 3557-833-1,1.731,,,
TYC 3557-832-1,6.24,,,
TYC 3557-825-1,2.869,,,
TYC 3557-716-1,14.671,,,
TYC 3557-601-1,6.31,,,
TYC 3557-493-1,1.196,,,
TYC 3557-2254-1,3.29,,,
TYC 3557-2211-1,5.889,,,
TYC 3557-2133-1,2.215,,,
TYC 3557-212-1,2.296,,,
TYC 3557-2070-1,1.668,,,
