Name,vsini,e_vsini,prot,e_prot,e_prot(L),e_prot(U)
TYC 3145-1979-1,158,58,,,,
TYC 3145-1975-1,141,94,,,,
TYC 3144-982-1,129,38,,,,
TYC 3144-969-1,169,37,,,,
TYC 3144-954-1,122,147,,,,
TYC 3144-856-1,160,45,,,,
TYC 3144-787-1,141,41,,,,
TYC 3144-332-1,142,34,,,,
TYC 3144-2399-1,159,54,,,,
TYC 3144-2314-1,249,71,,,,
TYC 3144-2192-1,353,62,,,,
TYC 3144-2022-1,190,65,,,,
TYC 3144-1811-1,240,30,,,,
TYC 3144-1426-1,291,57,,,,
TYC 3144-1309-1,145,103,,,,
TYC 3144-1121-1,223,47,,,,
TYC 3143-846-1,121,71,,,,
TYC 3143-437-1,177,32,,,,
TYC 3143-261-1,171,41,,,,
TYC 3143-1902-1,127,45,,,,
TYC 3143-1621-1,142,47,,,,
TYC 3143-1607-1,195,32,,,,
TYC 3143-1602-1,165,46,,,,
TYC 3143-134-1,124,67,,,,
TYC 3143-1294-1,134,89,,,,
TYC 3143-1205-1,149,34,,,,
TYC 3143-1179-1,181,66,,,,
TYC 3143-1018-1,166,58,,,,
TYC 3142-957-1,126,86,,,,
TYC 3142-25-1,179,69,,,,
TYC 3142-175-1,155,92,,,,
TYC 3142-1474-1,238,37,,,,
TYC 3142-1397-1,150,40,,,,
TYC 3142-1234-1,166,115,,,,
TYC 3142-1073-1,148,50,,,,
TYC 3141-964-1,270,37,,,,
TYC 3141-748-1,159,71,,,,
TYC 3141-3697-1,169,45,,,,
TYC 3141-3409-1,293,41,,,,
TYC 3141-3378-1,127,77,,,,
TYC 3141-3352-1,142,41,,,,
TYC 3141-2904-1,133,32,,,,
TYC 3141-2562-1,129,99,,,,
TYC 3141-2468-1,213,139,,,,
TYC 3141-2421-1,207,78,,,,
TYC 3141-1089-1,172,64,,,,
TYC 3141-1021-1,222,47,,,,
TYC 3140-82-1,217,24,,,,
TYC 3140-707-1,139,41,,,,
TYC 3140-582-1,178,48,,,,
TYC 3140-568-1,172,88,,,,
TYC 3140-53-1,265,42,,,,
TYC 3140-521-1,233,39,,,,
TYC 3140-2798-1,122,57,,,,
TYC 3140-2318-1,151,104,,,,
TYC 3140-183-1,234,39,,,,
TYC 3140-1537-1,157,29,,,,
TYC 3140-1497-1,243,40,,,,
TYC 3139-946-1,199,55,,,,
TYC 3139-880-1,213,24,,,,
TYC 3139-476-1,191,36,,,,
TYC 3139-4-1,218,69,,,,
TYC 3139-291-1,123,107,,,,
TYC 3139-285-1,123,98,,,,
TYC 3139-276-1,167,45,,,,
TYC 3139-2499-1,144,118,,,,
TYC 3139-2397-1,177,58,,,,
TYC 3139-2396-1,366,28,,,,
TYC 3139-2356-1,152,133,,,,
TYC 3139-2265-1,192,125,,,,
TYC 3139-1899-1,146,62,,,,
TYC 3139-1556-1,235,87,,,,
TYC 3139-1545-1,135,47,,,,
TYC 3139-1493-1,120,71,,,,
TYC 3139-146-1,159,67,,,,
TYC 3139-1403-1,263,62,,,,
TYC 3139-1384-1,132,103,,,,
TYC 3139-1246-1,240,44,,,,
TYC 3139-1219-1,133,99,,,,
TYC 3139-1071-1,182,40,,,,
TYC 3139-1039-1,215,10,,,,
TYC 3138-941-1,380,28,,,,
TYC 3138-934-1,168,40,,,,
TYC 3138-728-1,129,99,,,,
TYC 3138-66-1,134,60,,,,
TYC 3138-573-1,290,102,,,,
TYC 3138-206-1,376,40,,,,
TYC 3138-1904-1,262,45,,,,
TYC 3138-1861-1,125,114,,,,
TYC 3138-1390-1,160,55,,,,
TYC 3138-1327-1,147,91,,,,
TYC 3138-1184-1,165,66,,,,
TYC 3138-1099-1,129,71,,,,
TYC 3136-818-1,158,49,,,,
TYC 3136-695-1,271,42,,,,
TYC 3136-511-1,206,129,,,,
TYC 3136-301-1,190,54,,,,
TYC 3136-19-1,296,61,,,,
TYC 3136-1401-1,127,80,,,,
TYC 3135-471-1,321,79,,,,
TYC 3135-221-1,130,91,,,,
TYC 3135-184-1,175,69,,,,
TYC 3135-150-1,231,41,,,,
TYC 3134-83-1,201,50,,,,
TYC 3134-803-1,175,53,,,,
TYC 3134-403-1,212,53,,,,
TYC 3134-284-1,143,43,,,,
TYC 3134-254-1,208,155,,,,
TYC 3134-1817-1,195,46,,,,
TYC 3134-1467-1,166,88,,,,
TYC 3133-355-1,374,21,,,,
TYC 3133-2679-1,157,51,,,,
TYC 3133-2367-1,254,78,,,,
TYC 3133-1922-1,232,52,,,,
TYC 3133-1782-1,139,37,,,,
TYC 3133-1205-1,290,58,,,,
TYC 3131-1204-1,151,119,,,,
TYC 3129-2339-1,181,44,,,,
TYC 3129-205-1,190,187,,,,
TYC 3129-202-1,184,47,,,,
TYC 3129-1409-1,180,45,,,,
TYC 3129-1023-1,144,33,,,,
TYC 3128-1601-1,137,131,,,,
TYC 3127-1911-1,155,51,,,,
TYC 3127-1857-1,217,50,,,,
TYC 3127-1451-1,121,76,,,,
TYC 3127-1423-1,179,151,,,,
TYC 3127-1267-1,190,43,,,,
TYC 3126-1777-1,153,58,,,,
TYC 3125-93-1,128,80,,,,
TYC 3125-528-1,126,102,,,,
TYC 3125-3740-1,120,32,,,,
TYC 3125-3315-1,390,23,,,,
TYC 3125-2441-1,257,35,,,,
TYC 3125-2245-1,122,75,,,,
TYC 3125-1912-1,148,93,,,,
TYC 3125-138-1,156,48,,,,
TYC 3125-1353-1,164,56,,,,
TYC 3125-1276-1,168,95,,,,
TYC 3124-2580-1,122,32,,,,
TYC 3124-2174-1,121,27,,,,
TYC 3124-1715-1,288,96,,,,
TYC 3124-1545-1,133,111,,,,
TYC 3124-15-1,139,157,,,,
TYC 3124-1423-1,173,54,,,,
TYC 3124-1003-1,177,35,,,,
TYC 3123-943-1,172,181,,,,
TYC 3123-2012-1,123,58,,,,
TYC 3123-1904-1,265,124,,,,
TYC 3123-1820-1,174,135,,,,
TYC 3122-1365-1,135,99,,,,
TYC 3121-83-1,263,98,,,,
TYC 3121-1798-1,188,128,,,,
TYC 3120-854-1,174,50,,,,
TYC 3120-376-1,368,33,,,,
TYC 3120-254-1,177,55,,,,
TYC 3120-238-1,121,63,,,,
TYC 3120-1717-1,189,100,,,,
TYC 3120-1649-1,120,61,,,,
TYC 3120-1492-1,129,35,,,,
TYC 3119-904-1,122,84,,,,
TYC 3119-1386-1,183,78,,,,
TYC 3119-1133-1,145,95,,,,
TYC 2666-407-1,310,82,,,,
TYC 2666-384-1,180,44,,,,
TYC 2666-303-1,162,156,,,,
TYC 2666-234-1,154,111,,,,
TYC 2666-1375-1,137,37,,,,
StM 482,253,72,,,,
StM 459,326,79,,,,
SSTISAGEMC J053910.91-690613.2,59,30,,,,
SPOCS 2457,194,53,,,,
SPOCS 2447,287,67,,,,
ROTSE1 J194041.31+450740.1,171,101,,,,
ROTSE1 J193642.70+445832.8,265,101,,,,
ROTSE1 J193503.14+494446.4,139,103,,,,
ROTSE1 J193444.97+513137.5,154,111,,,,
ROTSE1 J193150.88+424504.9,335,50,,,,
ROTSE1 J193141.03+464844.1,274,27,,,,
ROTSE1 J193012.70+414942.4,130,104,,,,
ROTSE1 J192954.14+443523.5,290,14,,,,
ROTSE1 J192843.27+503827.7,219,43,,,,
ROTSE1 J192633.96+522908.9,254,91,,,,
ROTSE1 J192216.45+480311.2,200,126,,,,
ROTSE1 J191840.92+513824.2,122,113,,,,
ROTSE1 J191805.52+444116.3,321,39,,,,
ROTSE1 J190922.30+381930.4,313,32,,,,
ROTSE1 J190807.51+403309.3,152,93,,,,
ROTSE1 J190413.83+455701.2,154,50,,,,
ROTSE1 J190110.53+410609.5,126,106,,,,
ROTSE1 J184757.18+443810.8,163,35,,,,
ROTSE1 J184556.86+471914.4,221,10,,,,
ROTSE1 J184517.00+424010.4,221,52,,,,
ROTSE1 J184346.81+473157.8,252,94,,,,
ROTSE1 J184154.46+470522.5,211,36,,,,
Ross 619,3,1.7,,,,
Ross 614,6,0.9,,,,
RMC 133,54,11,,,,
OGLE LMC-LPV-76549,126,20,,,,
OGLE LMC-ECL-36524,127,20,,,,
OGLE LMC-ECL-21435,122,30,,,,
OGLE LMC175.4 54,194,30,,,,
OGLE BRIGHT-LMC-ECL-14,104,6,,,,
NSVS 8294044,268,56,,,,
NSVS 5539153,155,59,,,,
NGC 6866 10,130,103,,,,
NAME Walborn 2,79,30,,,,
NAME 30 Dor 016,610,30,,,,
LSPM J1920+4039,214,94,,,,
LSPM J1859+4506,133,83,,,,
LP 467-16,15.2,2.4,,,,
LAMOST J192817.82+410412.2,349,73,,,,
LAMOST J192331.87+440557.5,122,84,,,,
KOI-99,0.4,1,,,,
KOI-981,2.1,1,,,,
KOI-958,3.1,1,,,,
KOI-92,2.7,1,,,,
KOI-81,237,63,,,,
KOI-8,3,1,,,,
KOI-799,148,134,,,,
KOI-771,2.5,1,,,,
KOI-7687,197,49,,,,
