Name,prot,e_prot
KIC 9637007,20.59,0.052
KIC 9697306,20.584,0.036
KIC 8073672,20.577,0.04
KIC 4671612,20.577,4.371
KIC 5119861,20.572,0.051
KIC 8183385,20.57,0.233
KIC 3661418,20.568,0.017
KIC 11713234,20.564,0.069
TYC 3135-241-1,20.551,0.091
KIC 8784120,20.549,0.555
KIC 8817046,20.544,0.602
KIC 6310112,20.539,0.053
KIC 5813059,20.538,0.117
KIC 2141193,20.525,0.09
KIC 5474298,20.51,0.073
KIC 7517852,20.502,0.049
KIC 8008646,20.498,0.113
[HGM2009b] WOCS 065030,20.485,0.104
KIC 10850518,20.476,0.079
KIC 6119510,20.474,0.274
KIC 7870612,20.465,0.327
KIC 6515221,20.46,0.28
KIC 9569210,20.459,0.063
KIC 4768453,20.458,0.059
KIC 6307325,20.456,0.072
KIC 10645673,20.456,0.138
KIC 4249282,20.455,0.068
KIC 7734893,20.45,0.034
KIC 10861090,20.45,0.045
KIC 7602277,20.447,0.176
KIC 4480068,20.438,0.245
KIC 3936317,20.438,0.067
KIC 9655094,20.433,0.341
KIC 4735754,20.429,0.014
KIC 1873523,20.429,0.441
KIC 8096599,20.409,0.496
KIC 9173741,20.403,0.228
KIC 9241346,20.399,0.133
KIC 4245790,20.387,0.048
KIC 6950440,20.386,0.128
KIC 11460506,20.384,0.254
KIC 7293557,20.379,0.3
KIC 9152773,20.377,0.066
KIC 3865498,20.376,0.044
KIC 10016317,20.372,0.048
KIC 8686010,20.371,0.121
KIC 7877465,20.363,0.064
KIC 12159172,20.359,0.119
KIC 8962344,20.351,0.697
KIC 3216081,20.35,0.045
KIC 9639035,20.327,0.022
KIC 7367212,20.326,0.131
KIC 11251525,20.324,0.267
KIC 9932154,20.315,0.02
KIC 8153942,20.303,0.036
KIC 7120309,20.302,0.126
KIC 6195777,20.302,0.031
KIC 7777570,20.294,0.036
KIC 5950833,20.284,0.179
KIC 4921143,20.284,0.199
KIC 12158032,20.281,0.185
KIC 9701988,20.273,0.095
KIC 8300631,20.273,0.362
KIC 6443705,20.267,0.073
KIC 10612448,20.265,0.057
KIC 8682939,20.259,0.051
KIC 7699627,20.25,0.113
KIC 8245274,20.242,0.035
KIC 7363589,20.241,0.072
KIC 6281015,20.236,0.142
KIC 10427308,20.23,0.034
KIC 4367426,20.228,0.058
TYC 3130-2155-1,20.221,0.061
KIC 5535212,20.206,0.169
KIC 3657652,20.202,0.019
KIC 5649757,20.197,0.029
KIC 11723821,20.196,0.057
KIC 7103794,20.185,0.058
KIC 10918380,20.185,0.193
KIC 5093410,20.184,0.213
KIC 11558422,20.182,0.119
TYC 3557-1220-1,20.178,1.12
KIC 6780796,20.173,0.499
KIC 11140629,20.17,0.241
KIC 8937052,20.163,0.144
KIC 8114053,20.162,0.026
KIC 11121789,20.158,0.132
KIC 3221541,20.146,0.06
KIC 4951383,20.139,0.094
KIC 4952538,20.137,0.033
KIC 9405477,20.134,0.086
KIC 6470828,20.134,0.054
KIC 2577005,20.133,0.027
KIC 6470598,20.13,0.132
KIC 3837400,20.13,0.042
KOI-7617,20.125,0.02
KIC 8613751,20.125,0.041
KIC 5986246,20.123,0.067
TYC 3556-3445-1,20.119,0.144
KIC 11084877,20.118,0.071
KIC 10016759,20.118,0.082
KIC 11507133,20.117,0.195
KIC 9824744,20.114,0.037
KIC 11968008,20.112,0.032
KIC 11905653,20.109,0.088
KIC 5358474,20.106,0.024
KIC 11514253,20.102,0.057
KIC 3633375,20.098,0.062
KIC 10203098,20.096,4.151
KIC 8527276,20.09,0.323
KIC 9834221,20.089,0.3
KIC 8378684,20.079,0.06
KIC 9693806,20.077,0.062
KIC 5905644,20.07,0.089
KIC 9152299,20.068,0.198
KIC 10861961,20.068,0.174
KIC 4751604,20.062,0.099
KIC 6921817,20.051,0.019
KIC 4048591,20.05,0.272
KIC 6038860,20.044,0.048
KOI-5363,20.043,0.155
KIC 10803430,20.038,0.118
KIC 8029244,20.028,0.076
KIC 12646171,20.028,0.14
KIC 9601420,20.011,0.269
KIC 5431581,20.006,0.083
KIC 7367431,20.005,0.448
KIC 12150896,20.002,0.176
KIC 12203724,20.001,0.049
KIC 11401975,19.996,0.201
KIC 9016859,19.988,0.036
KIC 4044261,19.988,0.138
KIC 11448151,19.988,0.114
KIC 9872872,19.986,0.329
