FolderLabel,Name,Teff,e_Teff,Logg,e_Logg,FeH,e_FeH,Kepler Mag,e_Kepler Mag,Parallax,e_Parallax
195,BD+42 3339,5940.1,60,3.864,0.1,-0.043,0.04,10.775,0.1,2.330344232,0.022502561
196,Kepler-334,5865.6,60,4.442,0.1,0.014,0.04,12.776,0.1,2.315545333,0.024271594
197,KOI-3017,5531.7,60,4.481,0.1,-0.162,0.04,13.308,0.1,2.305324739,0.013017892
198,KOI-1947,5943.6,60,3.954,0.1,0.224,0.04,12.335,0.1,2.297311833,0.023905626
199,Kepler-845,4773,60,4.597,0.1,-0.114,0.04,14.631,0.1,2.2911,0.017492998
200,Kepler-18,5441,60,4.417,0.1,0.282,0.04,13.549,0.1,2.280431831,0.016835783
201,Kepler-190,5138.4,60,4.639,0.1,0.058,0.04,14.137,0.1,2.278544393,0.01452992
202,KOI-6971,4898.4,60,4.733,0.1,-0.17,0.04,14.784,0.1,2.275390931,0.022394519
203,Kepler-161,5107.7,60,4.544,0.1,0.239,0.04,14.196,0.1,2.27197322,0.016170639
204,Kepler-390,5127.6,60,4.48,0.1,-0.113,0.04,13.942,0.1,2.268660359,0.019510528
205,KOI-2290,4965.8,60,4.701,0.1,-0.238,0.04,14.447,0.1,2.255269776,0.018632656
206,Kepler-28,4674.4,60,4.588,0.1,0.017,0.04,15.036,0.1,2.252651287,0.024121142
207,KOI-1808,6142.9,60,4.444,0.1,0.043,0.04,12.487,0.1,2.252355059,0.023008469
208,KOI-2581,5482.9,60,4.462,0.1,0.28,0.04,13.463,0.1,2.250568309,0.013473085
209,Kepler-537,5697,60,4.426,0.1,0.143,0.04,13.1,0.1,2.246926691,0.012260035
210,KOI-1871,4628,60,4.345,0.1,0.177,0.04,14.897,0.1,2.241157825,0.02238008
211,Kepler-152,5065.2,60,4.608,0.1,-0.117,0.04,14.29,0.1,2.238278943,0.016004122
212,KOI-2848,5703.7,60,4.156,0.1,0.32,0.04,12.458,0.1,2.226763045,0.021371409
213,Kepler-106,5859.7,60,4.361,0.1,-0.088,0.04,12.882,0.1,2.222332077,0.030260231
214,KOI-1623,5666.6,60,4.047,0.1,0.016,0.04,12.037,0.1,2.222186508,0.030909376
215,KOI-3103,5883.4,60,4.247,0.1,0.285,0.04,12.506,0.1,2.21900393,0.394040313
216,Kepler-95,5653.8,60,4.09,0.1,0.268,0.04,12.346,0.1,2.215420313,0.028536592
217,Kepler-782,5683.5,60,4.356,0.1,-0.221,0.04,12.783,0.1,2.20944832,0.028544034
218,KOI-3111,5917,60,4.356,0.1,-0.065,0.04,12.863,0.1,2.206135329,0.022439656
219,Kepler-958,5418.9,60,4.621,0.1,0.059,0.04,13.766,0.1,2.194473129,0.014157251
220,Kepler-744,5495.4,60,4.512,0.1,-0.143,0.04,13.581,0.1,2.193807484,0.023370175
221,Kepler-196,5146,60,4.547,0.1,0.028,0.04,14.157,0.1,2.186918865,0.015278933
222,Kepler-646,5333.5,60,4.542,0.1,-0.444,0.04,13.766,0.1,2.184560326,0.015470318
223,KOI-4109,4986,60,4.464,0.1,0.26,0.04,14.511,0.1,2.179854579,0.022824498
224,Kepler-1388,5052.1,60,3.523,0.1,-0.498,0.04,16.279,0.1,2.175492042,0.036052209
225,Kepler-514,6155,60,4.301,0.1,0.107,0.04,12.182,0.1,2.167543207,0.023603866
226,Kepler-450,6298.1,60,4.217,0.1,0.17,0.04,11.684,0.1,2.164485981,0.024491634
227,Kepler-530,5600.4,60,4.542,0.1,-0.181,0.04,13.4,0.1,2.155931298,0.014528209
228,KOI-328,5765.6,60,4.477,0.1,-0.085,0.04,12.82,0.1,2.15266519,0.019480689
229,KOI-1856,5251.1,60,4.581,0.1,0.024,0.04,14.082,0.1,2.149415038,0.01528559
230,Kepler-105,5932.8,60,4.402,0.1,-0.087,0.04,12.791,0.1,2.149032903,0.025663267
231,Kepler-153,5178,60,4.743,0.1,-0.265,0.04,14.262,0.1,2.148072265,0.016056317
232,KOI-4070,4926.4,60,4.582,0.1,0.068,0.04,14.549,0.1,2.14737945,0.017375311
233,Kepler-984,5601,60,4.492,0.1,0.04,0.04,13.534,0.1,2.144197271,0.014987688
234,Kepler-536,5485,60,4.478,0.1,0.028,0.04,13.807,0.1,2.13772141,0.070392089
235,Kepler-1323,6062.8,60,4.297,0.1,0.003,0.04,12.41,0.1,2.119963201,0.022127147
236,Kepler-932,5165.5,60,4.345,0.1,0.072,0.04,14.131,0.1,2.119004423,0.019070079
237,KOI-3194,6361.2,60,4.132,0.1,0.172,0.04,11.487,0.1,2.118094014,0.02248123
238,Kepler-185,5037,60,4.694,0.1,-0.142,0.04,14.458,0.1,2.113855882,0.021402544
239,KOI-2916,4972.6,60,4.539,0.1,-0.005,0.04,14.409,0.1,2.112814898,0.016460943
240,Kepler-512,6050.9,60,4.359,0.1,0.042,0.04,12.674,0.1,2.110980883,0.021982639
241,Kepler-997,6059,60,4.148,0.1,0.058,0.04,11.894,0.1,2.110165012,0.02560274
242,KOI-3251,5896.7,60,4.15,0.1,0.086,0.04,12.452,0.1,2.107367471,0.027267703
243,Kepler-513,5747.5,60,4.326,0.1,-0.112,0.04,12.935,0.1,2.106846495,0.02030412
244,KOI-4188,5970.3,60,4.447,0.1,0.121,0.04,13.128,0.1,2.104603137,0.021218565
245,KOI-3249,6012.2,60,4.276,0.1,0.037,0.04,12.434,0.1,2.101648339,0.023977043
246,KOI-1431,5531.7,60,4.373,0.1,0.266,0.04,13.46,0.1,2.090373726,0.015016308
247,KOI-2486,6035.2,60,4.197,0.1,0.093,0.04,13.047,0.1,2.086828256,0.512241258
248,KOI-2833,6192.8,60,4.38,0.1,-0.191,0.04,12.599,0.1,2.077653293,0.025585803
249,Kepler-1341,4683,60,4.423,0.1,0.285,0.04,15.028,0.1,2.067943268,0.021599641
250,Kepler-89,6181.2,60,4.234,0.1,0.07,0.04,12.205,0.1,2.067598563,0.021583481
251,KOI-3083,5829,60,4.28,0.1,0.317,0.04,12.857,0.1,2.064316481,0.020948785
252,Kepler-92,5945.7,60,4.058,0.1,0.19,0.04,11.565,0.1,2.063474112,0.023329989
253,Kepler-1163,6207.9,60,4.21,0.1,0.024,0.04,12.168,0.1,2.060487149,0.019712239
254,Kepler-1315,4780.2,60,4.446,0.1,0.24,0.04,14.975,0.1,2.051042947,0.024562436
255,Kepler-1121,6212.5,60,4.207,0.1,0.196,0.04,12.071,0.1,2.045771281,0.018878439
256,Kepler-1040,5696.5,60,4.475,0.1,0.089,0.04,13.328,0.1,2.045305106,0.013857216
257,Kepler-215,5647.8,60,4.554,0.1,-0.435,0.04,13.58,0.1,2.028813541,0.015354071
